Benchmark,Preprocessor,Solver,Timeout,Command,Ingest Duration (ns),Preprocess Duration (ns),SAT Solver Duration (ns),Theory Solver Duration (ns),Graph Overhead Duration (ns),Learn Overhead Duration (ns),Solver Calls,Theory Solver Loops,,,,,,,
,,,,cpulimit -l 100 -- ./qf-idl-solver --preprocessor='nil' --solver='tarjan' --stats --csv --timeout='0' bench/queens_bench/n_queen/queen30-1.smt2 ; cpulimit -l 100 -- ./qf-idl-solver --preprocessor='t-lin' --solver='tarjan' --stats --csv --timeout='0' bench/queens_bench/n_queen/queen30-1.smt2 ; cpulimit -l 100 -- ./qf-idl-solver --preprocessor='t-quad' --solver='tarjan' --stats --csv --timeout='0' bench/queens_bench/n_queen/queen30-1.smt2 ; cpulimit -l 100 -- ./qf-idl-solver --preprocessor='tie-lin' --solver='tarjan' --stats --csv --timeout='0' bench/queens_bench/n_queen/queen30-1.smt2 ; cpulimit -l 100 -- ./qf-idl-solver --preprocessor='tie-quad' --solver='bf-basic' --stats --csv --timeout='5m' bench/queens_bench/n_queen/queen30-1.smt2 ; cpulimit -l 100 -- ./qf-idl-solver --preprocessor='tie-quad' --solver='bf-full' --stats --csv --timeout='5m' bench/queens_bench/n_queen/queen30-1.smt2 ; cpulimit -l 100 -- ./qf-idl-solver --preprocessor='tie-quad' --solver='spfa-basic' --stats --csv --timeout='5m' bench/queens_bench/n_queen/queen30-1.smt2 ; cpulimit -l 100 -- ./qf-idl-solver --preprocessor='tie-quad' --solver='spfa-full' --stats --csv --timeout='5m' bench/queens_bench/n_queen/queen30-1.smt2 ; cpulimit -l 100 -- ./qf-idl-solver --preprocessor='tie-quad' --solver='tarjan' --stats --csv --timeout='0' bench/queens_bench/n_queen/queen30-1.smt2,,,,,,,,,,,,,,,
bench/queens_bench/n_queen/queen30-1.smt2,nil,tarjan,0,cpulimit -l 100 -- ./qf-idl-solver --preprocessor='nil' --solver='tarjan' --stats --csv --timeout='0' bench/queens_bench/n_queen/queen30-1.smt2,43365634,202,6936234847,3412507520,7187424014,1396310336,17114,15754256,,0.043,0.000,6.936,3.413,7.187,1.396
bench/queens_bench/n_queen/queen30-1.smt2,t-lin,tarjan,0,cpulimit -l 100 -- ./qf-idl-solver --preprocessor='t-lin' --solver='tarjan' --stats --csv --timeout='0' bench/queens_bench/n_queen/queen30-1.smt2,37591743,340886,13034258596,5399684556,11463966837,2413825524,26455,25633024,,0.038,0.000,13.034,5.400,11.464,2.414
bench/queens_bench/n_queen/queen30-1.smt2,t-quad,tarjan,0,cpulimit -l 100 -- ./qf-idl-solver --preprocessor='t-quad' --solver='tarjan' --stats --csv --timeout='0' bench/queens_bench/n_queen/queen30-1.smt2,42185074,544333,10545638345,4670668129,9479058724,2061433694,23193,21052999,,0.042,0.001,10.546,4.671,9.479,2.061
bench/queens_bench/n_queen/queen30-1.smt2,tie-lin,tarjan,0,cpulimit -l 100 -- ./qf-idl-solver --preprocessor='tie-lin' --solver='tarjan' --stats --csv --timeout='0' bench/queens_bench/n_queen/queen30-1.smt2,43232188,1513645,24726465983,7569931943,14977436551,3108566113,39670,41780552,,0.043,0.002,24.726,7.570,14.977,3.109
bench/queens_bench/n_queen/queen30-1.smt2,tie-quad,bf-basic,5m,cpulimit -l 100 -- ./qf-idl-solver --preprocessor='tie-quad' --solver='bf-basic' --stats --csv --timeout='5m' bench/queens_bench/n_queen/queen30-1.smt2,44437094,2600234,61693491095,201738663077,29457843287,7075003558,72220,1517091530,,0.044,0.003,61.693,201.739,29.458,7.075
bench/queens_bench/n_queen/queen30-1.smt2,tie-quad,bf-full,5m,cpulimit -l 100 -- ./qf-idl-solver --preprocessor='tie-quad' --solver='bf-full' --stats --csv --timeout='5m' bench/queens_bench/n_queen/queen30-1.smt2,42542804,2276545,60029669744,203300542101,29272222667,7344511251,73226,1539179171,,0.043,0.002,60.030,203.301,29.272,7.345
bench/queens_bench/n_queen/queen30-1.smt2,tie-quad,spfa-basic,5m,cpulimit -l 100 -- ./qf-idl-solver --preprocessor='tie-quad' --solver='spfa-basic' --stats --csv --timeout='5m' bench/queens_bench/n_queen/queen30-1.smt2,43554917,2490940,59148586973,203227529240,30252965345,7336703241,74404,1513792881,,0.044,0.002,59.149,203.228,30.253,7.337
bench/queens_bench/n_queen/queen30-1.smt2,tie-quad,spfa-full,5m,cpulimit -l 100 -- ./qf-idl-solver --preprocessor='tie-quad' --solver='spfa-full' --stats --csv --timeout='5m' bench/queens_bench/n_queen/queen30-1.smt2,42079023,2485826,191463628999,38700792215,56462745578,13299155379,171360,1171990340,,0.042,0.002,191.464,38.701,56.463,13.299
bench/queens_bench/n_queen/queen30-1.smt2,tie-quad,tarjan,0,cpulimit -l 100 -- ./qf-idl-solver --preprocessor='tie-quad' --solver='tarjan' --stats --csv --timeout='0' bench/queens_bench/n_queen/queen30-1.smt2,44997781,2540217,21382556101,6580634443,13258849899,2906880803,36685,35441554,,0.045,0.003,21.383,6.581,13.259,2.907
